task_id,project_id,employee_id,task_name,priority,status,estimated_hours,actual_hours,start_date,due_date,completion_date,delay_days,sla_breach,dependency_reason,task_complexity,risk_level,min_completion_time,max_completion_time,avg_completion_time
10001,548,1139,Task_10001,Critical,Completed,77,74,2024-12-03,2025-03-02,2025-03-02,0,No,N/A,Easy,Low,72,83,77.5
10002,550,1178,Task_10002,High,In Progress,89,94,2024-09-04,2024-11-04,2024-11-04,0,No,N/A,Complex,High,88,112,100.0
10003,540,1114,Task_10003,High,In Progress,46,69,2026-01-09,2026-02-12,2026-02-12,0,No,N/A,Medium,Low,41,81,61.0
10004,537,1174,Task_10004,Medium,Ready for Review,66,90,2025-08-17,2025-09-27,2025-09-27,0,No,N/A,Easy,High,62,108,85.0
10005,504,1065,Task_10005,Low,In Progress,92,117,2024-11-08,2024-12-30,2024-12-30,0,No,N/A,Medium,Low,87,125,106.0
10006,518,1042,Task_10006,Critical,Completed,67,94,2025-10-08,2025-10-31,2025-11-03,3,No,N/A,Medium,Low,66,106,86.0
10007,526,1014,Task_10007,Medium,Review Completed,74,92,2025-12-14,2026-01-18,2026-01-20,2,No,N/A,Easy,Medium,73,108,90.5
10008,546,0,Task_10008,High,Not Started,93,109,2025-03-15,2025-04-07,2025-04-07,0,No,N/A,Medium,High,91,115,103.0
10009,549,1036,Task_10009,Low,Completed,100,125,2025-11-02,2026-01-03,2026-01-12,9,Yes,N/A,Medium,Low,99,132,115.5
10010,536,1039,Task_10010,Medium,Completed,103,136,2026-02-23,2026-05-06,2026-05-09,3,No,N/A,Medium,Low,102,150,126.0
10011,516,0,Task_10011,Low,Not Started,63,98,2025-06-24,2025-09-16,2025-09-16,0,No,N/A,Medium,High,59,105,82.0
10012,541,1005,Task_10012,Critical,Delayed,75,106,2025-12-10,2026-01-14,2026-01-14,0,No,Vendor Delay,Easy,High,73,120,96.5
10013,537,1062,Task_10013,Low,Ready for Review,63,69,2024-10-18,2025-01-16,2025-01-16,0,No,N/A,Complex,High,62,85,73.5
10014,536,1130,Task_10014,High,Delayed,12,31,2025-01-21,2025-03-27,2025-03-27,0,No,Waiting for Client Input,Complex,Low,8,47,27.5
10015,523,1018,Task_10015,Medium,Ready for Review,40,77,2025-07-02,2025-09-25,2025-09-25,0,No,N/A,Easy,Medium,39,92,65.5
