incident_id,project_id,employee_id,incident_type,severity,root_cause,status,reported_date,resolution_hours,sla_limit_hours,sla_breach,escalation_status,impacted_system,customer_impact,incident_priority
9001,538,1171,Authentication Failure,Low,Cloud Region Failure,Resolved,2026-02-25,31,48,No,Normal,ERP,Low,P4
9002,548,1058,Cloud Service Outage,Low,Cloud Region Failure,Open,2026-02-23,6,48,No,Normal,CRM,Low,P4
9003,526,1075,Production Deployment Failure,Low,Expired Certificate,Open,2025-08-14,18,48,No,Normal,CRM,High,P4
9004,516,1093,Database Failure,High,Third-Party Service Failure,Escalated,2025-11-23,23,8,Yes,Escalated,ERP,Medium,P2
9005,528,1098,ETL/Data Pipeline Failure,High,Cloud Region Failure,Escalated,2026-05-07,65,8,Yes,Escalated,Analytics Platform,Low,P2
9006,541,1082,Network Connectivity Issue,Medium,Human Error,Escalated,2025-07-05,27,24,Yes,Normal,Payment_Gateway,Low,P3
9007,529,1127,ETL/Data Pipeline Failure,Low,Cloud Region Failure,Resolved,2025-10-27,41,48,No,Normal,Payment_Gateway,Low,P4
9008,538,1197,Cloud Service Outage,High,Expired Certificate,Escalated,2025-09-27,25,8,Yes,Escalated,Payment_Gateway,Medium,P2
9009,519,1061,ETL/Data Pipeline Failure,Critical,Third-Party Service Failure,In Progress,2026-05-21,42,4,Yes,Escalated,Analytics Platform,Medium,P4
9010,539,1021,Security Incident,Low,Human Error,Escalated,2026-05-26,68,48,Yes,Normal,ERP,Medium,P4
9011,506,1135,Backup Failure,High,Server Resource Exhaustion,In Progress,2025-10-17,70,8,Yes,Escalated,CRM,Medium,P2
9012,510,1076,Backup Failure,Low,Database Lock/Deadlock,In Progress,2025-07-08,71,48,Yes,Normal,CRM,High,P4
9013,530,1108,Production Deployment Failure,Low,Failed Deployment,Resolved,2025-08-09,43,48,No,Normal,HRMS,Medium,P4
9014,508,1139,ETL/Data Pipeline Failure,Low,Server Resource Exhaustion,Open,2025-06-27,22,48,No,Normal,Analytics Platform,High,P4
9015,526,1092,Database Failure,Low,Code Defect,Escalated,2025-10-21,68,48,Yes,Normal,CRM,Low,P4
9016,530,1023,Backup Failure,High,Security Attack,Escalated,2025-09-08,71,8,Yes,Escalated,HRMS,Medium,P2
9017,535,1075,Security Incident,Medium,Third-Party Service Failure,In Progress,2026-01-31,35,24,Yes,Normal,Analytics Platform,High,P3
9018,511,1020,Security Incident,Low,Server Resource Exhaustion,Open,2025-07-25,2,48,No,Normal,HRMS,High,P4
9019,526,1112,Cloud Service Outage,High,Code Defect,In Progress,2025-06-21,13,8,Yes,Escalated,HRMS,Low,P2
9020,519,1123,Server Performance Degradation,Medium,Third-Party Service Failure,In Progress,2025-09-12,30,24,Yes,Normal,Payment_Gateway,High,P3
9021,525,1168,Application Outage,Low,Server Resource Exhaustion,Escalated,2026-05-13,63,48,Yes,Normal,HRMS,High,P4
9022,530,1018,Database Failure,Critical,Code Defect,Escalated,2025-10-04,10,4,Yes,Escalated,Payment_Gateway,Low,P4
9023,523,1087,Database Failure,Critical,Code Defect,In Progress,2026-04-30,48,4,Yes,Escalated,Analytics Platform,High,P1
9024,509,1013,Third-Party Vendor Outage,Medium,Database Lock/Deadlock,In Progress,2026-02-17,65,24,Yes,Normal,HRMS,Medium,P3
9025,539,1054,Network Connectivity Issue,Critical,Failed Deployment,Escalated,2025-10-30,19,4,Yes,Escalated,HRMS,Medium,P4
9026,524,1111,Production Deployment Failure,Low,Server Resource Exhaustion,Resolved,2026-04-09,35,48,No,Normal,HRMS,High,P4
9027,527,1089,Server Performance Degradation,High,Human Error,In Progress,2025-07-01,20,8,Yes,Escalated,ERP,Low,P2
9028,539,1011,API Failure,Low,Human Error,Escalated,2026-05-29,55,48,Yes,Normal,ERP,High,P4
9029,506,1136,Backup Failure,High,Capacity Overload,Escalated,2025-07-09,60,8,Yes,Escalated,Analytics Platform,Medium,P2
9030,545,1001,API Failure,High,Failed Deployment,In Progress,2025-10-14,72,8,Yes,Escalated,CRM,Medium,P2
9031,527,1101,Network Connectivity Issue,Critical,Expired Certificate,In Progress,2026-01-16,10,4,Yes,Escalated,ERP,Low,P4
9032,529,1129,Network Connectivity Issue,Medium,Code Defect,Open,2025-09-24,23,24,No,Normal,Analytics Platform,High,P3
9033,515,1116,Cloud Service Outage,Critical,Security Attack,Escalated,2025-12-18,21,4,Yes,Escalated,Payment_Gateway,Medium,P4
9034,504,1177,Backup Failure,Critical,Human Error,Escalated,2025-12-21,58,4,Yes,Escalated,Payment_Gateway,Medium,P4
9035,529,1094,Database Failure,High,Configuration Error,In Progress,2026-05-25,72,8,Yes,Escalated,HRMS,High,P2
9036,540,1049,Third-Party Vendor Outage,Low,Human Error,Resolved,2026-05-20,9,48,No,Normal,Payment_Gateway,Low,P4
